Device_ID,Packet_Size (bytes),Latency (ms),Throughput (Mbps),Protocol_Type,Source_Port,Destination_Port,IP_Flag,Connection_Duration (ms),Packet_Count,Error_Rate,Fragmentation_Flag,Payload_Size (bytes),Session_Status,Attack_Type
Device_84,187,275.48,75.66,ICMP,26241,106,FIN,6627.39,828,0.0501,0,528,Pending,DDoS
Device_65,1007,428.23,39.39,UDP,52481,960,SYN,6980.0,125,0.0151,0,1406,Established,Normal
Device_42,555,472.12,62.93,TCP,600,746,FIN,2845.43,885,0.056,1,791,Failed,Spoofing
Device_65,741,251.92,42.16,ICMP,41746,47,None,6277.81,219,0.0141,1,1093,Established,Normal
Device_83,1426,124.09,82.03,UDP,32213,973,SYN,9891.08,566,0.0636,0,396,Failed,DDoS
Device_100,438,285.43,67.59,UDP,112,1004,FIN,7220.32,207,0.0523,0,1029,Pending,Spoofing
Device_53,322,241.58,50.43,UDP,43699,109,ACK,185.62,632,0.0865,0,917,Failed,DDoS
Device_37,1186,339.3,84.73,UDP,56924,198,ACK,9515.28,550,0.0878,0,1472,Failed,DDoS
Device_81,195,467.84,36.63,TCP,30482,106,SYN,7661.4,286,0.038,0,692,Pending,Phishing
Device_75,425,185.41,92.99,TCP,36,163,RST,6592.49,466,0.0558,0,379,Pending,Spoofing
Device_95,696,30.8,27.68,ICMP,27540,95,RST,8463.98,93,0.0097,1,267,Established,Normal
Device_64,838,447.0,29.62,UDP,32781,866,RST,4809.47,374,0.0135,0,1245,Established,Normal
Device_26,896,83.03,47.49,UDP,56854,657,None,4111.8,59,0.0126,1,6,Established,Normal
Device_23,163,100.62,61.34,ICMP,37938,917,SYN,9877.15,843,0.0604,1,514,Pending,DDoS
Device_98,158,444.24,10.69,TCP,16497,457,None,42.09,402,0.0389,1,972,Pending,Phishing
Device_95,80,213.36,17.58,ICMP,26346,689,RST,1896.89,413,0.0001,0,946,Established,Normal
Device_79,239,346.72,2.94,TCP,50544,781,SYN,1881.32,208,0.0329,1,698,Pending,Phishing
Device_43,1039,31.15,94.17,TCP,865,81,FIN,7908.01,430,0.0321,0,1183,Failed,Spoofing
Device_58,678,481.53,14.88,ICMP,25380,863,RST,1009.82,342,0.0098,1,1292,Established,Normal
Device_56,705,3.19,95.47,TCP,64039,792,RST,5369.22,999,0.0794,1,678,Failed,DDoS
Device_3,970,426.2,81.92,UDP,320,461,RST,6523.68,870,0.0638,1,622,Failed,Spoofing
Device_29,1385,390.29,64.94,ICMP,3373,50,SYN,2145.81,680,0.087,0,923,Pending,DDoS
Device_79,355,265.0,2.0,ICMP,856,786,FIN,2823.57,988,0.0738,1,1493,Pending,Spoofing
Device_63,1439,251.22,44.72,ICMP,43862,65,RST,1400.69,441,0.0061,1,1245,Established,Normal
Device_91,826,493.75,29.68,UDP,29167,775,FIN,3278.32,426,0.0041,1,1425,Established,Normal
Device_23,645,104.62,95.81,ICMP,45816,75,ACK,6297.95,934,0.0725,0,394,Pending,DDoS
Device_22,1243,28.24,64.0,ICMP,46082,335,FIN,9264.45,780,0.0948,0,278,Failed,DDoS
Device_59,493,60.93,14.93,UDP,16204,180,FIN,1913.63,38,0.0091,1,15,Established,Normal
Device_78,695,108.13,47.82,TCP,7695,150,None,2561.49,394,0.0133,1,851,Established,Normal
Device_5,1268,273.5,57.0,ICMP,146,347,RST,5676.6,823,0.0227,0,191,Failed,Spoofing
Device_14,1152,32.04,62.77,ICMP,39247,551,RST,3261.26,715,0.0637,1,446,Failed,DDoS
Device_28,1340,107.3,4.72,UDP,391,870,FIN,2584.7,275,0.0782,0,193,Failed,Spoofing
Device_86,154,114.16,98.17,TCP,11678,546,FIN,1166.03,467,0.0122,1,1400,Failed,Phishing
Device_62,817,421.19,59.46,ICMP,13278,472,ACK,3270.78,680,0.0507,1,888,Failed,DDoS
Device_71,954,489.9,32.93,TCP,16,362,RST,8822.94,739,0.0284,1,207,Failed,Spoofing
Device_4,75,160.06,86.9,ICMP,10288,704,SYN,9966.69,589,0.0583,1,1035,Pending,DDoS
Device_30,711,221.82,48.78,UDP,44307,481,RST,6121.99,466,0.0111,0,762,Established,Normal
Device_23,579,264.22,57.16,UDP,3449,49,RST,6015.49,737,0.0572,0,967,Failed,DDoS
Device_1,267,136.1,27.37,ICMP,15893,187,SYN,2461.09,308,0.004,0,242,Established,Normal
Device_1,1133,130.16,26.2,ICMP,123,470,RST,4414.5,417,0.0317,1,954,Failed,Spoofing
Device_11,255,291.89,96.49,TCP,39319,373,SYN,3379.1,678,0.0367,0,144,Pending,Phishing
Device_62,138,35.99,6.86,TCP,46285,668,None,1232.4,155,0.0481,0,635,Pending,Phishing
Device_97,795,393.36,50.78,ICMP,269,926,FIN,3742.8,700,0.0335,0,774,Failed,Spoofing
Device_53,179,402.74,93.29,TCP,29401,658,None,8511.38,530,0.0105,1,106,Pending,Phishing
Device_36,1393,111.37,46.77,ICMP,45885,904,None,2526.29,85,0.0136,1,1198,Established,Normal
Device_76,637,464.65,98.95,ICMP,2458,352,RST,3182.31,782,0.0893,0,1049,Pending,DDoS
Device_17,757,191.66,2.94,TCP,682,287,FIN,625.81,736,0.0664,1,888,Failed,Spoofing
Device_7,1255,336.55,43.53,ICMP,1020,340,FIN,1082.19,963,0.0293,0,781,Failed,Spoofing
Device_70,328,228.9,32.02,ICMP,984,989,RST,610.66,600,0.024,1,858,Pending,Spoofing
Device_61,719,43.53,6.36,ICMP,37264,581,SYN,7120.7,423,0.019,1,736,Established,Normal
Device_1,1380,4.04,85.7,UDP,719,717,RST,2398.73,229,0.0233,1,984,Pending,Spoofing
Device_92,1506,226.94,58.49,ICMP,24393,653,RST,4973.68,777,0.0832,0,865,Pending,DDoS
Device_47,427,84.16,95.12,UDP,52944,565,SYN,3331.39,869,0.0909,1,838,Failed,DDoS
Device_44,250,311.8,77.07,TCP,52817,1020,None,3485.07,121,0.0179,1,513,Failed,Phishing
Device_21,223,257.26,9.9,TCP,34252,404,None,4402.92,497,0.0271,0,1437,Pending,Phishing
Device_8,220,296.59,50.82,TCP,41139,19,ACK,4481.25,924,0.0919,1,907,Failed,DDoS
Device_13,238,173.38,7.82,TCP,62049,17,ACK,302.02,779,0.0185,1,1050,Pending,Phishing
Device_62,508,326.62,60.59,UDP,6542,1013,RST,7831.64,558,0.0734,1,402,Failed,DDoS
Device_16,1131,111.09,77.88,ICMP,39742,238,FIN,3094.43,588,0.0758,0,441,Pending,DDoS
Device_84,570,178.02,68.84,UDP,18861,138,FIN,5609.24,629,0.0967,0,956,Failed,DDoS
Device_15,359,412.52,29.29,UDP,4947,821,ACK,4778.62,97,0.0179,0,828,Established,Normal
Device_15,1023,261.39,1.97,ICMP,48026,768,None,2139.74,223,0.0073,0,706,Established,Normal
Device_59,349,121.62,20.9,ICMP,18529,362,SYN,4191.29,82,0.0136,0,1152,Established,Normal
Device_55,111,256.93,77.42,ICMP,727,812,RST,7861.14,338,0.0471,0,1185,Pending,Spoofing
Device_47,487,98.47,43.48,UDP,5301,1022,FIN,6529.8,440,0.0198,0,1316,Established,Normal
Device_51,316,75.3,14.86,ICMP,397,481,RST,1390.42,172,0.042,0,1034,Pending,Spoofing
Device_82,870,383.29,50.11,TCP,952,54,RST,747.89,779,0.053,0,127,Pending,Spoofing
Device_85,1277,202.07,17.29,ICMP,35969,565,None,3275.99,74,0.0084,0,1339,Established,Normal
Device_81,409,69.02,74.65,UDP,15089,1018,ACK,2447.28,699,0.071,0,1307,Failed,DDoS
Device_90,1256,116.63,62.42,ICMP,332,738,RST,4713.19,50,0.0724,1,1,Failed,Spoofing
Device_95,193,110.8,61.4,TCP,46198,275,RST,6477.62,762,0.095,0,484,Failed,DDoS
Device_37,1146,122.04,32.32,TCP,13520,558,FIN,780.8,340,0.0192,1,1168,Established,Normal
Device_28,310,181.85,81.5,TCP,181,498,FIN,1457.53,930,0.0545,1,1233,Failed,Spoofing
Device_45,223,169.37,13.41,TCP,6195,960,RST,4793.59,77,0.0341,1,790,Pending,Phishing
Device_90,581,299.14,54.75,ICMP,792,255,RST,5705.0,255,0.0689,1,495,Failed,Spoofing
Device_6,122,143.68,99.7,TCP,27048,698,ACK,5477.92,868,0.0481,0,769,Failed,Phishing
Device_28,886,301.15,19.74,UDP,39791,645,SYN,7443.53,258,0.0129,0,1126,Established,Normal
Device_45,201,347.25,51.72,TCP,16575,742,RST,9584.61,781,0.0374,0,867,Pending,Phishing
Device_6,1311,254.28,76.5,TCP,821,93,RST,4196.26,999,0.0433,0,562,Pending,Spoofing
Device_84,489,391.63,27.63,TCP,52669,538,RST,8092.98,466,0.0197,1,1403,Established,Normal
Device_94,1178,271.79,82.04,UDP,12144,142,FIN,8219.7,845,0.0825,1,92,Failed,DDoS
Device_25,992,245.24,70.66,UDP,176,246,FIN,4714.4,92,0.02,0,621,Pending,Spoofing
Device_44,176,487.81,38.22,TCP,21762,768,None,3403.67,46,0.0225,0,1056,Pending,Phishing
Device_64,362,49.86,29.74,UDP,3674,135,FIN,1203.82,172,0.0191,0,750,Established,Normal
Device_60,187,229.05,23.24,TCP,44206,693,ACK,882.42,225,0.0169,0,1227,Failed,Phishing
Device_68,83,271.09,51.67,TCP,39001,248,ACK,4449.0,614,0.0192,0,835,Failed,Phishing
Device_41,506,68.51,84.63,UDP,25,205,RST,3085.33,321,0.0683,0,171,Pending,Spoofing
Device_25,138,172.22,10.38,TCP,39912,1005,RST,7539.95,176,0.0204,0,1130,Pending,Phishing
Device_49,182,439.14,42.28,TCP,33894,581,None,358.52,417,0.0071,0,1132,Established,Normal
Device_97,1364,85.56,8.53,TCP,54045,227,SYN,9212.13,430,0.0059,1,64,Established,Normal
Device_30,1133,217.4,96.67,ICMP,1692,319,RST,6174.58,529,0.0714,1,406,Failed,DDoS
Device_6,506,352.68,54.63,ICMP,940,334,FIN,2475.48,343,0.0671,1,1364,Pending,Spoofing
Device_13,246,34.06,63.76,TCP,59069,315,SYN,1294.13,518,0.0248,0,210,Failed,Phishing
Device_44,696,346.56,38.43,TCP,88,516,FIN,707.16,272,0.0799,0,1215,Pending,Spoofing
Device_68,923,309.54,18.12,ICMP,687,420,RST,8919.95,122,0.0284,1,292,Failed,Spoofing
Device_52,375,293.8,63.07,TCP,56988,702,SYN,1913.0,686,0.0763,0,147,Pending,DDoS
Device_38,1342,471.86,55.08,ICMP,27263,959,None,1942.49,554,0.0512,0,745,Failed,DDoS
Device_100,1088,439.6,83.59,TCP,48297,404,FIN,1963.78,511,0.0798,1,900,Pending,DDoS
Device_65,246,315.48,99.65,TCP,25798,287,ACK,3019.66,988,0.043,1,264,Pending,Phishing
Device_91,438,99.86,50.62,ICMP,952,306,RST,1365.75,471,0.0661,0,982,Pending,Spoofing
Device_70,220,271.13,51.84,TCP,3158,600,FIN,2403.64,307,0.0156,0,1298,Failed,Phishing
Device_41,799,58.13,41.66,ICMP,63857,866,ACK,2182.4,16,0.0095,0,49,Established,Normal
Device_92,295,391.46,48.07,TCP,79,382,RST,3757.53,154,0.0316,0,1495,Failed,Spoofing
Device_94,180,62.84,1.51,TCP,34169,390,RST,6618.26,281,0.0465,0,169,Pending,Phishing
Device_95,810,229.58,72.18,TCP,37434,688,FIN,8617.6,595,0.0605,1,190,Pending,DDoS
Device_94,115,330.61,31.85,TCP,12049,882,None,823.18,660,0.0471,1,144,Pending,Phishing
Device_68,606,457.42,44.58,TCP,6055,982,RST,7719.74,359,0.0114,0,1356,Established,Normal
Device_70,1364,264.35,49.51,TCP,48750,212,FIN,5266.5,246,0.018,0,1465,Established,Normal
Device_10,238,372.62,33.57,ICMP,497,23,RST,3886.19,469,0.0412,0,1436,Pending,Spoofing
Device_78,895,47.47,22.02,TCP,36960,658,FIN,9080.29,120,0.0135,0,863,Established,Normal
Device_38,236,62.12,94.27,TCP,56053,847,FIN,6220.29,193,0.0132,0,1177,Pending,Phishing
Device_81,134,379.53,75.67,TCP,14622,313,ACK,1485.53,179,0.0479,1,273,Pending,Phishing
Device_70,274,101.41,14.32,UDP,54333,197,ACK,3657.05,167,0.0186,1,296,Established,Normal
Device_17,1282,469.23,39.68,ICMP,32158,747,FIN,8461.91,400,0.0092,1,1495,Established,Normal
Device_34,159,5.65,58.39,TCP,8880,762,SYN,5189.45,628,0.0448,0,718,Pending,Phishing
Device_49,76,297.01,20.97,TCP,14644,640,None,6756.55,664,0.0137,0,809,Pending,Phishing
Device_47,305,493.77,67.91,UDP,39497,268,SYN,2266.23,694,0.0737,1,1138,Failed,DDoS
Device_77,1057,470.11,0.87,TCP,44873,601,None,2560.26,146,0.0119,0,805,Established,Normal
Device_13,1420,354.45,44.49,TCP,193,62,FIN,1065.3,587,0.0669,1,627,Pending,Spoofing
Device_31,186,106.0,21.47,TCP,43711,773,FIN,1588.72,860,0.0488,0,541,Failed,Phishing
Device_72,659,488.54,95.29,ICMP,44056,41,RST,2806.53,627,0.0755,1,728,Failed,DDoS
Device_60,390,238.1,49.99,ICMP,238,764,RST,7742.4,930,0.0357,0,1247,Failed,Spoofing
Device_95,169,144.01,99.51,TCP,882,666,RST,6517.44,461,0.0641,1,1353,Failed,Spoofing
Device_56,1195,128.86,93.37,ICMP,62325,351,None,9510.48,775,0.0665,1,311,Failed,DDoS
Device_75,744,216.61,9.58,ICMP,28749,397,FIN,1544.72,493,0.0153,1,1121,Established,Normal
Device_99,671,243.54,79.26,ICMP,45565,39,SYN,1919.38,576,0.0506,0,606,Pending,DDoS
Device_26,122,228.91,24.76,TCP,25985,452,SYN,7460.87,552,0.0409,1,615,Failed,Phishing
Device_23,549,195.37,33.17,UDP,27,895,FIN,9140.31,922,0.0395,1,1396,Pending,Spoofing
Device_44,167,332.61,8.7,TCP,42837,1006,SYN,74.72,197,0.0417,0,57,Pending,Phishing
Device_30,1128,380.65,67.77,ICMP,40661,145,RST,742.15,639,0.0905,0,492,Failed,DDoS
Device_40,137,436.79,80.97,TCP,40475,651,FIN,3869.44,256,0.0253,1,1354,Pending,Phishing
Device_57,1409,84.83,22.28,ICMP,43605,84,FIN,8320.99,154,0.0171,1,105,Established,Normal
Device_93,246,136.61,9.13,TCP,12908,426,None,9613.28,946,0.0146,1,584,Failed,Phishing
Device_46,1202,141.1,92.39,ICMP,263,373,FIN,3577.32,206,0.0275,1,409,Pending,Spoofing
Device_13,415,36.94,39.85,TCP,10540,828,ACK,858.84,45,0.0053,0,624,Established,Normal
Device_3,1038,171.09,70.25,TCP,139,440,FIN,9908.17,489,0.0424,1,146,Pending,Spoofing
Device_31,612,473.67,15.27,ICMP,24880,931,ACK,7200.83,379,0.0168,1,584,Established,Normal
Device_48,927,495.34,42.84,UDP,26194,257,None,5323.03,133,0.0086,1,1098,Established,Normal
Device_65,915,57.98,1.67,UDP,32437,842,RST,930.39,136,0.0111,1,473,Established,Normal
Device_26,254,496.95,66.86,TCP,33826,143,RST,7141.26,865,0.0274,0,32,Pending,Phishing
Device_78,1162,213.75,80.62,UDP,25798,814,ACK,3222.64,745,0.0509,1,218,Pending,DDoS
Device_43,1473,414.19,31.25,ICMP,557,713,RST,8144.26,153,0.036,0,1200,Failed,Spoofing
Device_29,208,460.4,76.52,TCP,17944,983,SYN,6510.39,625,0.0485,0,959,Failed,Phishing
Device_89,978,245.12,18.76,TCP,6725,397,ACK,6093.4,269,0.0137,1,667,Established,Normal
Device_87,854,187.74,42.14,TCP,32889,706,None,9324.48,230,0.0049,1,586,Established,Normal
Device_86,1422,114.43,6.24,TCP,18,901,FIN,5854.62,250,0.0304,1,1022,Failed,Spoofing
Device_60,917,468.52,68.56,UDP,587,578,FIN,9930.43,446,0.0251,1,816,Pending,Spoofing
Device_74,638,466.4,25.73,TCP,572,738,RST,8903.1,381,0.0469,1,978,Failed,Spoofing
Device_33,985,437.06,32.59,ICMP,49337,1023,FIN,8775.15,286,0.0189,1,520,Established,Normal
Device_59,138,236.81,97.98,TCP,39966,721,None,5401.31,867,0.0355,1,519,Failed,Phishing
Device_82,213,470.99,52.58,UDP,32119,476,None,5459.18,912,0.076,1,761,Failed,DDoS
Device_98,1249,213.99,63.8,ICMP,44921,966,ACK,7386.72,975,0.0971,0,257,Failed,DDoS
Device_99,251,164.95,7.96,TCP,31962,402,ACK,2925.41,739,0.0231,1,728,Pending,Phishing
Device_61,619,315.99,18.89,TCP,36863,208,SYN,9801.44,440,0.0002,0,1110,Established,Normal
Device_93,1362,252.28,99.23,ICMP,794,614,RST,2123.32,393,0.0648,1,384,Failed,Spoofing
Device_89,299,271.72,18.16,UDP,35674,42,None,4961.47,169,0.0,1,822,Established,Normal
Device_40,243,23.65,43.38,TCP,51382,229,RST,8940.73,885,0.0228,1,807,Pending,Phishing
Device_23,98,310.24,81.6,ICMP,462,342,RST,8195.07,463,0.0487,0,1146,Pending,Spoofing
Device_92,1322,378.67,57.33,TCP,65364,331,FIN,6640.19,772,0.0917,1,887,Pending,DDoS
Device_43,801,132.51,42.34,TCP,6552,965,RST,942.03,123,0.0067,0,763,Established,Normal
Device_26,476,28.35,48.51,UDP,48065,83,None,2701.9,94,0.0158,1,1154,Established,Normal
Device_43,890,397.95,78.87,ICMP,729,998,RST,7197.34,661,0.051,0,617,Pending,Spoofing
Device_21,194,132.24,94.6,TCP,903,85,RST,3276.6,527,0.0728,1,52,Pending,Spoofing
Device_78,495,9.69,42.98,TCP,15269,535,RST,4791.97,242,0.0027,1,333,Established,Normal
Device_5,238,176.34,94.13,TCP,31063,59,ACK,5225.14,712,0.0245,0,1378,Failed,Phishing
Device_78,84,1.43,38.85,TCP,6695,148,FIN,9148.21,469,0.0436,0,693,Failed,Phishing
Device_79,491,184.1,21.71,UDP,1021,769,FIN,8974.13,175,0.034,0,1301,Pending,Spoofing
Device_13,675,194.69,74.28,UDP,33732,335,FIN,379.93,890,0.0934,1,977,Failed,DDoS
Device_28,177,480.24,29.94,TCP,60802,828,None,4547.51,977,0.0102,0,648,Failed,Phishing
Device_86,213,473.93,60.39,TCP,12527,1003,FIN,1857.89,436,0.0315,1,1228,Failed,Phishing
Device_90,1035,255.73,56.55,ICMP,43118,421,ACK,3527.81,713,0.0972,1,244,Failed,DDoS
Device_82,817,292.89,20.09,ICMP,33106,275,RST,5807.19,200,0.0185,1,333,Established,Normal
Device_98,1054,472.78,72.29,UDP,41445,99,ACK,5889.02,590,0.0844,1,1171,Failed,DDoS
Device_64,204,498.61,96.47,TCP,5985,831,None,3680.4,546,0.0379,0,605,Pending,Phishing
Device_87,102,361.94,20.65,TCP,57382,866,FIN,225.23,830,0.0333,0,675,Failed,Phishing
Device_90,1515,225.57,85.41,UDP,282,839,FIN,1677.34,788,0.0525,0,823,Pending,Spoofing
Device_1,1377,405.2,80.52,ICMP,267,794,RST,5175.64,347,0.0678,0,1294,Pending,Spoofing
Device_2,103,249.73,23.94,TCP,26884,443,SYN,7380.53,89,0.0275,1,975,Failed,Phishing
Device_88,1310,156.25,20.55,UDP,10272,234,SYN,9199.05,495,0.0108,1,334,Established,Normal
Device_50,760,41.23,39.68,TCP,919,744,RST,3629.61,890,0.0281,1,599,Pending,Spoofing
Device_48,174,473.32,3.07,TCP,22302,380,ACK,5563.8,674,0.0343,1,1430,Pending,Phishing
Device_40,135,318.0,87.87,UDP,204,199,RST,8829.29,301,0.0558,0,1449,Pending,Spoofing
Device_13,1346,369.53,67.92,ICMP,354,333,RST,3550.44,560,0.074,0,805,Pending,Spoofing
Device_97,1453,12.05,44.9,TCP,26823,154,SYN,9326.24,384,0.0048,1,734,Established,Normal
Device_22,848,200.97,97.79,ICMP,75,878,FIN,2410.83,734,0.0312,0,1393,Failed,Spoofing
Device_59,125,224.51,46.72,TCP,42438,877,FIN,219.75,258,0.0369,0,210,Pending,Phishing
Device_57,574,89.27,94.62,ICMP,1344,977,ACK,4584.3,543,0.0664,1,1478,Failed,DDoS
Device_67,1475,86.44,83.78,ICMP,17140,315,ACK,6029.28,735,0.0971,1,1113,Failed,DDoS
Device_13,753,498.8,70.93,UDP,727,169,FIN,6046.51,23,0.0405,1,762,Pending,Spoofing
Device_50,1023,167.57,99.87,ICMP,245,902,FIN,6436.93,115,0.0704,0,816,Failed,Spoofing
Device_54,958,474.41,75.65,TCP,10730,827,FIN,2984.78,954,0.0526,0,363,Pending,DDoS
Device_24,1001,408.09,84.65,UDP,690,536,RST,7419.01,30,0.0454,1,1077,Failed,Spoofing
Device_68,159,104.42,15.55,TCP,366,36,FIN,1947.4,362,0.062,0,1119,Pending,Spoofing
Device_67,1307,356.62,29.4,ICMP,65291,528,None,5308.58,375,0.0041,1,1491,Established,Normal
Device_92,80,188.24,8.77,TCP,44240,687,SYN,4903.92,554,0.0263,0,1312,Pending,Phishing
Device_91,176,82.77,38.87,UDP,42159,290,ACK,167.77,304,0.0027,0,625,Established,Normal
Device_50,1502,317.89,32.91,UDP,22270,211,None,3069.61,360,0.0155,1,846,Established,Normal
Device_31,182,201.3,88.63,TCP,27332,537,RST,3206.65,587,0.0821,1,1480,Failed,DDoS
Device_60,391,289.42,21.73,TCP,21568,792,FIN,5398.43,293,0.0184,0,532,Established,Normal
Device_59,1029,48.52,74.56,ICMP,28929,831,FIN,5908.86,550,0.0615,0,834,Pending,DDoS
Device_28,198,431.99,1.44,TCP,6749,182,ACK,2097.86,636,0.0128,0,31,Pending,Phishing
Device_17,1147,276.43,69.99,ICMP,15105,18,None,6992.38,842,0.0653,1,820,Pending,DDoS
Device_57,1188,281.5,13.69,UDP,335,796,FIN,7954.02,314,0.067,1,1028,Pending,Spoofing
Device_64,251,188.77,66.56,TCP,25677,160,ACK,2889.66,966,0.0895,1,204,Pending,DDoS
Device_79,908,39.64,0.64,UDP,949,394,FIN,6721.94,443,0.0557,0,309,Failed,Spoofing
Device_10,334,298.92,3.16,TCP,48933,1010,None,9356.62,95,0.0019,1,659,Established,Normal
Device_6,128,43.12,49.33,TCP,62485,227,RST,8804.63,791,0.0284,0,529,Pending,Phishing
Device_95,1388,169.35,35.11,ICMP,34140,841,ACK,4645.17,38,0.0125,0,442,Established,Normal
Device_44,216,394.85,82.73,TCP,38387,674,None,9585.08,997,0.0367,0,1402,Pending,Phishing
Device_16,467,490.99,52.8,UDP,986,303,FIN,6369.03,293,0.0338,0,1467,Pending,Spoofing
Device_20,1031,93.25,18.46,ICMP,18925,668,RST,9938.96,348,0.0106,0,637,Established,Normal
Device_82,1217,495.19,9.7,ICMP,29057,119,SYN,6523.56,264,0.0096,1,342,Established,Normal
Device_100,520,222.24,94.37,TCP,2097,458,ACK,8120.01,977,0.077,0,236,Pending,DDoS
